no;y;t;X1;X2;X3
1;0.119926932;0;0.229669534;-1.671575008;-0.365772318
2;1.069363704;1;-0.466848042;1.716576815;1.551094013
3;0.136612111;0;0.343321772;1.265428884;0.032494066
4;-0.198980668;0;-0.686792831;0.771018199;-0.838687539
5;-0.284640256;1;1.169157774;-0.0024142;-1.777024975
6;2.256063665;1;0.452207195;-1.223469053;2.895901889
7;-2.05597944;0;-1.023922065;-0.599939535;-2.23282877
8;1.413289982;1;2.040215816;0.457696796;0.030096458
9;-3.63015493;0;-1.805486307;-2.716489651;0.349112413
10;-1.366555464;0;0.123575691;-0.469980616;-0.074089674
11;-1.163962751;0;0.453792906;-0.026896911;0.390438292
12;1.501624257;1;0.385230271;0.848282739;0.751608907
13;1.895040991;1;0.472923523;0.955546165;2.260765975
14;-0.188231856;0;-0.725762149;0.157306291;-0.172423522
15;-3.510785962;0;-0.707316484;-1.46766592;-2.090174187
16;-0.036468335;0;0.197125705;1.412028764;0.975454385
17;-0.937555073;0;-1.111686014;-1.203267111;0.79519502
18;-0.539382067;0;-0.870660959;-0.923611939;0.497586428
19;0.02528675;1;0.911784141;-0.639068742;0.134105074
20;0.681523695;1;-0.769896149;0.684726369;0.538692546
